# targeting; name; message

['age-gender']; Noom; "I was a firefighter for 15 years and I'd work out twice a day, but I broke my back 

['age-gender']; Freshly; Take the work out of eating healthy. Get meals cooked by our chefs and delivered fre

['Yoga']; Tracy Anderson Method; This is the place to experience Tracy Anderson’s breakthrough research and content t

['Lead', 'Human eye', 'Finance', 'Yoga', 'Ketone', 'Natural product', 'Meditation']; Health Insider; How to make effective use of Intermittent Fasting for People Over 50.  https://healt

['age-gender']; Steel Supplements; 𝐓𝐢𝐫𝐞𝐝 𝐨𝐟 𝐭𝐚𝐤𝐢𝐧𝐠 𝐩𝐫𝐨𝐝𝐮𝐜𝐭𝐬 𝐭𝐡𝐚𝐭 𝐝𝐨𝐧’𝐭 𝐰𝐨𝐫𝐤?A lot of people are and it is creating a la

['age-gender']; Tracy Anderson Method; Get in #TAmily, we’re going to the beach. Join our community and start the workout t

['age-gender']; Schizophrenia CCT Study; A research study is being conducted to evaluate the safety of an investigational med

['age-gender']; Tonal; Fitness expert, Paul Sklar, is convinced Tonal is the best all-in-one home gym equip

['age-gender']; Everlywell; Help your favorite guy step up his health and wellness with simple at-home lab tests

['age-gender']; Tracy Anderson Method; So we know what you’re thinking: Does Tracy Anderson wear a bikini during the workou

['age-gender']; White Claw Hard Seltzer; Disfruta nuevas olas de frescura tomando White Claw® Iced Tea con alcohol. Disponibl

['custom']; Tracy Anderson Method; This is the place. The core strategy of the Tracy Anderson Online Studio will take y

['age-gender']; Nurx; Anti-aging medications, now delivered by Nurx.  Skin coaching Your own medical provi

['age-gender']; obé fitness; Feel your best with Sculpt, Yoga, Pilates, and Barre—from anywhere. 22 daily LIVE cl

['custom']; Tracy Anderson Method; This is the place. The core strategy of the Tracy Anderson Online Studio will take y

['Tracy Anderson']; LetsGetChecked; Get peace of mind with an At-Home Thyroid Test now with a 20% discount! No clinics, 

['age-gender']; MyBrainDR;  HELLO RALEIGH AREA!!!!!Depression, ADHD, anxiety, OCD, Insomnia, short term memory 

['age-gender']; Keeps; Get up to 50% off clinically proven FDA-Approved hair loss treatments for the first 

['custom']; Green Chef; Save $90 across 4 boxes, including free shipping on your 1st box!Make delicious keto

['custom']; Quiet Punch; See why over 20,000 people love to get an intense, fun workout at home with the Quie

['age-gender']; Noom; A 4-month program with Noom costs about the same as a new pair of shoes. Don't you t

['age-gender']; InnoSupps;  "I didn't know it was possible to excrete this much in 48 hours!  I feel lighter, h

['custom']; Tracy Anderson Method; This is the place. The core strategy of the Tracy Anderson Online Studio will take y

['custom']; LetsGetChecked; Skip the doctor's appointment and long lines at the clinic and use the code HEALTH20

['custom']; Freshly; Struggling to eat right? Get pre-portioned, chef-cooked meals delivered fresh for $6

['Cooking']; Tonal; As you push harder, Tonal will give you more weight to ensure you get the most out o

['age-gender']; Roman; Get ED medication delivered directly to your door with free 2-day shipping, if presc

['custom']; Beyond Diet; Happy, Healthy, & Delicious Eating! bit.ly/salad4uWhat is one of the best (and easie

['age-gender']; Coconut's Cafe of Henderson; COME PLAY ON MOBILE WITH US. COME IN STORE AND SET UP OR CALL 252-598-2063 TO GET SE

['Pop music']; Health Insider; How to make effective use of Intermittent Fasting for People Over 50.  https://healt

['Low-carbohydrate diet']; eMeals; sick of looking for keto recipes?We’ve done the work for you. Our Keto Meal Plan is 

['age-gender']; Tracy Anderson Method; This is the place. The core strategy of the Tracy Anderson Online Studio will take y

['age-gender']; FabFitFun; LIMITED-TIME OFFER! Join FabFitFun as an Annual Member and you'll get your first box

['age-gender']; Tracy Anderson Method; This is the place. The core strategy of the Tracy Anderson Online Studio will take y

['age-gender']; Lemonaid Health; stay confident, for less$2/pill with the same ingredient as Viagradiscreet packaging

['age-gender']; Tracy Anderson Method; This is the place. The core strategy of the Tracy Anderson Online Studio will take y

['age-gender']; Cerebral; Get the care you need from the comfort of home . Join thousands of people turning to

['custom']; LuckyLand Slots; Could YOU be our next winner?  Play LuckyLand Slots today and get a FREE 7,777 Gold 

['custom']; Tracy Anderson Method; Tracy intentionally does not speak during your workouts in our Online Studio. It's s

['custom']; JJ Smith; Who doesn’t have 3-4 weeks if it means melting stubborn fat, increased energy,  & gr

['age-gender']; Hungryroot; “My cholesterol is 1/3 of what it was, I have lost 20 lbs and I feel amazing every d

['The New Yorker', 'The Atlantic', "Harper's Magazine", 'Yoga', 'Meditation']; Pace Groups; When you can't (or don't want to) talk about it with family or friends—there's anoth

['Physical fitness']; Tonal; A Revolution in Strength Training: Tonal takes your workout to the next level
A Revo

['age-gender']; Freshly; Struggling to eat healthy? Get meals cooked by our chefs & delivered fresh for $30 o

['age-gender']; Noom; Noom uses psychology to help change unhealthy habits one step at time:No restrictive

['age-gender']; Chitra Jagannathan; Get the care you need from the comfort of home . Join thousands of people turning to

['custom']; Rory; Prescription eczema treatment, conveniently delivered to your door. Start your free 

['age-gender']; Field Trip Health; Follow the science. Chronic depression sufferers are experiencing lasting results an

['age-gender']; Kindbody; Fertility, gynecology, and wellness services in modern, tech-enabled clinics.
Fertil

['age-gender']; Jubilance for Emotional PMS Relief; If you have PMS-related mood swings, don’t let anyone tell you it’s “just your hormo

['age-gender']; Cerebral; Get the care you need from the comfort of home . Join thousands of people turning to

['age-gender']; LetsGetChecked; Save 35% on all At-Home health tests and seize your summer today! Use the code SUMME

['custom']; Mighty Health; The first workout app made for people 50+! Try our on-demand exercises that meet you

['custom']; Noom; A 4-month program with Noom costs about the same as a new pair of shoes. Don't you t

['age-gender']; Dr. Bobby J. Price; It’s time to get Vegucated! Dr. Bobby Price, a holistic pharmacist and food chemist,

['Diabetes mellitus type 2 awareness', 'Diabetes mellitus awareness']; Mastering Diabetes; "I have to know... how do you drop cholesterol, glucose, and blood pressure naturall

['age-gender']; Tracy Anderson Method; This is the place. The core strategy of the Tracy Anderson Online Studio will take y

['custom']; 4 Your Health; Explore custom meal plans with a 4 Your Health membership!
Explore custom meal plans

['custom']; Simple App; Stop looking for the best solution, just complete the quiz and find out what works f

['custom', 'Fasting']; FASTer Way to Fat Loss; By making a few small adjustments to your daily habits, you can reach your health an

['age-gender']; FLO; Meet FLO, just 2 a day keeps the acne away!PMS Gummy Vitamins are made with ingredie

['custom', 'Tea', 'Diabetes mellitus type 2 awareness']; Herbaly Tea;  "This is the most amazing company. Not only do they go the extra mile, they go the 

['age-gender']; Factor_; Save $90 over your first 3 weeks of keto meals — delivered right to your door.
Save 

['Diabetic Kitchen', 'Diabetic diet']; CuraLife; Diabetes FEELS hard to understand… but only because all the educational resources ou

['custom']; Eliza Carey; Hit a new low weight today --126.6 pounds, which is 70.2 pounds less than when I joi

['age-gender']; Tracy Anderson Method; This is the place. The core strategy of the Tracy Anderson Online Studio will take y

['age-gender']; Modern Fertility; Developed by a world-class team of doctors, the Modern Fertility test is changing wo

['custom']; Tracy Anderson Method; This is the place. The core strategy of the Tracy Anderson Online Studio will take y
