# targeting; name; message

['age-gender']; Erie Metal Roofs; 𝟓𝟎 𝐇𝐨𝐦𝐞𝐨𝐰𝐧𝐞𝐫𝐬 𝐖𝐢𝐥𝐥 𝐆𝐞𝐭 𝐚 𝐍𝐞𝐰 𝐌𝐞𝐭𝐚𝐥 𝐑𝐨𝐨𝐟 𝐈𝐧𝐬𝐭𝐚𝐥𝐥𝐞𝐝 𝐚𝐬 𝐏𝐚𝐫𝐭 𝐨𝐟 𝐚 𝐔𝐧𝐢𝐪𝐮𝐞 𝐎𝐩𝐩𝐨𝐫𝐭𝐮𝐧𝐢𝐭𝐲!El

['age-gender']; Erie Metal Roofs; ***𝗣𝗔𝗥𝗧𝗜𝗖𝗜𝗣𝗔𝗡𝗧𝗦 𝗡𝗘𝗘𝗗𝗘𝗗*** Ready For a New Roof? We're Looking to Evaluate Our Newest

['age-gender']; Erie Metal Roofs; ***𝗣𝗔𝗥𝗧𝗜𝗖𝗜𝗣𝗔𝗡𝗧𝗦 𝗡𝗘𝗘𝗗𝗘𝗗*** Ready For a New Roof? We're Looking to Evaluate Our Newest

['age-gender']; Savvy Homeowner; CHANGE THE WAY YOU POWER YOUR HOME!NORTH CAROLINA homeowners can now qualify for a s

['age-gender']; Become a Game Designer; Live in North Carolina and Love Gaming? Test & design games: Sign up now to see how 

['age-gender']; Become a Game Designer; Live in North Carolina and Love Gaming?  Sign up now to see how you can start your o

['age-gender']; Become a Game Designer; Live in North Carolina and Love Gaming? Start your online degree in as little as 1 m

['age-gender']; Sunrise Solar; Duke Energy Customers can use this new program to get Solar Panels Plus Battery Back

['custom']; LuckyLand Slots; Could YOU be our next winner?  Play LuckyLand Slots today and get a FREE 7,777 Gold 
